,CAS_No,SupplementalRecordUI,Agent,Year,Month,Day,Note,Frequency,DescriptorUI,Source,ConceptUI,RegistryNumber,TermUI,ThesaurusID,QualifierUI,PreviousIndexing,CASN1Name,Concept1UI,Concept2UI,DataSource,FileLocator,NameOfSubstance,Synonyms,RelatedRegistryNumber,ClassificationCode,MolecularFormula,DescriptorName,OtherRegistryNumber,FormulaFragment,SuperListName,SuperlistClassCode,InternetLocator,SuperlistLocator,MixtureName,GroupNo,Volume,id
16,10043353,,Boric acid||Orthoboric acid (H3BO3)|Boracic acid|Boron trihydroxide|Trihydroxyborane|Borofax|Kill-Off,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,011001
17,10043524,,Calcium chloride|,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,075605
18,10043660,,Iodine-131 (see Radioiodines),,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,,,
19,10043671,,Potassium aluminum sulfate|,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,128899
20,10043922,,Radon-222 and its decay products,2012,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,1,"43, 78, 100D",
21,10045860,,"Phosphoric acid, iron(3+) salt (1:1) (CA INDEX NAME)||Iron phosphate (FePO4)|Ferric phosphate|Ferric orthophosphate",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,034903
22,10045893,,"Ferrous ammonium sulfate||Sulfuric acid, ammonium iron(2+) salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,050506
23,10048132,,Sterigmatocystin,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"10, Sup 7",
24,10048325,,Parasorbic acid,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"10, Sup 7",
25,10049044,,Chlorine dioxide||Chlorine oxide|Chlorine peroxide,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,020503
26,100516,,Benzyl alcohol||Phenylmethanol|Benzenemethanol|Hydroxytoluene,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,009502
27,100527,,Benzaldehyde|,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,008601
28,100561,,"Phenylmercuric chloride|PMC||Mercury, chlorophenyl-|Chlorophenylmercury|Benzene, (chloromercurio)-|Stopspot",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,066007
29,100572,,"Phenylmercuric hydroxide||Hydroxyphenylmercury|Phenyl hydroxymercury|Mercury, hydroxyphenyl-|Mersolite 1",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,066011
30,10058238,,"Potassium peroxymonosulfate||Monopotassium peroxymonosulfate|Peroxymonosulfuric acid, monopotassium salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,063604
31,100646513,,"Propanoic acid, 2-\x8d4-\x8d(6-chloro-2-quinoxalinyl)oxyphenoxyÙ-, ethylester, (R)- (CA INDEX NAME)||Quizalofop-p-ethyl",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,128709
32,100754,,<i>N</i>-Nitrosopiperidine,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"17, Sup 7",
33,100784201,,"Chloro-5-(((((4,6-dimethoxy-2-pyrimidinyl)amino)carbonyl)amino)sulfonyl)-1-methyl-1H-pyrazole-4-carboxylic acid, methyl ester|Halosulfuron-methyl||Methyl 3-chloro-5-(4,6-dimethoxypyrimidin-2-yl carbamoylsulfamoyl)-1-methyl pyrazole-4-carboxylate|Pyrazole-4-carboxylic acid, 3-chloro-5-(((((4,6-dimethoxy-2-pyrimidinyl)amino)carbonyl)amino)sulfonyl)-1-methyl-, methyl ester (9CI)|Mon 12000|Permit herbicide|NC-319|Battalion (Mon 12041) herbicide|Mon 12003|Mon 12037|Mon 12022|Mon 12051",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,128721
34,100889,,"Cyclohexylsulfamic acid||Sulfamic acid, cyclohexyl-|Cyclamic acid",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,271200
35,100958,,"Benzyl((dodecylcarbamoyl)methyl)dimethyl ammonium chloride||Benzenemathanaminium, N-(2-(dodecylamino)-2-oxoethyl)-N,N-dimethyl-, chloride|Ammonium, benzyl((dodecylcarbamoyl)methyl)dimethyl-, chloride|Dimethylbenzylamino)acetic acid dodecylamide chloride|Metalkonium chloride|Urolocide|Nopcoccide",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,069159
36,100970,,"Hexamethylenetetramine||Methenamine|Tetraazatricyclo(3.3.1.1(superscript 3,7))decane|Urotropin",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,045501
37,10098972,,Strontium-90 (see Fission products),,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,,,
38,101007061,,"Cyano-3-phenoxybenzyl, (1R,3S)-3-((Z)-3-(bis(trifluoromethyl)methoxy)-3-oxo-1-propenyl)-2,2-dimethylcyclopropanecarboxylate|Acrinathrin||Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(3-oxo-3-(2,2,2-trifluoro-1-(trifluoromethyl)ethoxy)-1-propenyl-, cyano(3-phenoxyphenyl)methyl ester, (1R-(1.alpha.(S*),3.alpha.(Z)))-|RU 38702",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,129141
39,10101414,,Gypsum (Ca(SO4).2H2O) (CA NAME)||Calcium sulfate dihydrate (CaSO4.2H2O),,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,000203
40,10101970,,"Nickel sulfate hexahydrate||Sulfuric acid, nickel(2+) salt, hexahydrate",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,050505
41,10102906,,"Copper pyrophosphate||Diphosphoric acid, copper salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,069701
42,10103487,,"Copper phosphate||Phosphoric acid, copper salt ( Cu.xH3O4P )",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,022902
43,10103501,,"Magnesium arsenate||Arsenic acid, magnesium salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,013504
44,10103614,,"Copper arsenate||Arsenic acid, copper salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,022801
45,101043372,,Microcystin-LR,2010,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,94,
46,101053,,"Dichloro-6-(o-chloroanilino)-s-triazine|Anilazine||Dichloro-N-(2-chlorophenyl)-1,3,5-triazin-2-amine|Triazine-2-amine, 4,6-dichloro-N-(2-chlorophenyl)-|Triazine, 2,4-dichloro-6-(o-chloroanilino)-|Dyrene|Kemate|Direz|Triasym",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,080811
47,10108642,,Cadmium chloride||Vi-Cad|Caddy,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,012902
48,101100,,"Chlorophenoxy)propionic acid|Metachlorphenprop||Chlorophenoxy)propanoic acid|Propanoic acid, 2-(3-chlorophenoxy)-|Chlorophenoxy)propanoic acid|CPA|Cloprop|Amchem 3-CP|Bidisin Forte",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,021201
49,10112911,,Mercurous chloride||Calomel|Calo-Chlor (part)|Calocure (part)|Fungchex (part),,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,052201
50,101144,,"4,4-Methylenebis(2-chloroaniline) (MOCA)",2012,,,NB: Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,1,"Sup 7, 57, 99, 100F",
51,1011730,,"Dinitrophenol, sodium salt (as impurity)||Sodium 2,4-dinitrophenate|Phenol, 2,4-dinitro-, sodium salt (as impurity)",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,600035
52,101200480,,"Methyl 2-(((((4-methoxy-6-methyl-1,3,5-triazin-2-yl)methylamino)carbonyl)amino)sulfonyl)benzoate|Tribenuron-methyl||Benzoic acid, 2-(((((4-methoxy-6-methyl-1,3,5-triazin-2-yl)-N-methylamino)carbonyl)amino)sulfonyl)-, methyl ester|INL-5300|DPX-L5300|Express",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,128887
53,101202,,"Trichlorocarbanilide||Chlorophenyl)-N-(3,4-dichlorophenyl)urea|TCC|Solubacter|Triclocarban",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,027901
54,101213,,"Chloropropham, Isopropyl N-(3-chlorophenyl)carbamate|Chlorpropham||Isopropyl m-chlorocarbanilate|Chlorophenyl)carbamic acid 1-methylethyl ester|Chlorocarbanilic acid isopropyl ester|Carbamic acid, (3-chlorophenyl)-, 1-methylethyl ester|Carbanilic acid, m-chloro, isopropyl ester|Chlorophenyl) carbamic acid, isopropyl ester|CIPC|Chloro IPC|Furloe|Taterpex|Sprout Nip|Unicrop CIPC|Fasco Wy-Hoe|Jack Wilson Chloro 51 Oil|Liro CIPC|Nexoval|Tripec, component of (with 047601)|MorCran, component of (with 030702)|Preweed|Spud-Nip|Stopgerme-S|Triherbicide CIPC|Beet-Kleen, component of (with 035507 and 047601)|Elbanil",1987,,,,,,,,,,,,,,,,"List_of_Classifications.xls, PPIS/chemname.zip",,,,,,,,,,,,,,,3,"12, Sup 7",018301
55,10124364,,"Cadmium sulfate||Cadmium monosulfate|Sulfuric acid, Cadmium salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,012905
56,10124375,,"Nitric acid, calcium salt (CAS NAME)||Calcium nitrate (Ca(NO3)2)|Norwegian saltpeter|Calcium nitrate",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,070582
57,10124411,,"Calcium thiosulfate||Thiosulfuric acid (H2S2O3), calcium salt|Tecesal",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,080101
58,10124568,,"Sodium hexametaphosphate||Metaphosphoric acid (H6P6O18), hexasodium salt|Sodium phosphate (Na6(PO3)6)|Sodium metaphosphate (Na6(PO3)6)",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,076402
59,10125130,,Copper chloride (dihydrate)|Copper(II) chloride hydrate|,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,023701
60,101257,,Dinitrosopentamethylenetetramine,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"11, Sup 7",
61,101279,,"Chloro-2-butynyl m-chlorocarbanilate|Barban (ANSI)||Chloro-2-butynyl ester 3-chlorophenyl carbamic acid|Chlorobut-2-ynyl 3-chlorophenyl carbamate|Carbamic acid, 3-chlorophenyl-, 4-chloro-2-butynyl ester|Carbanilic acid, 3-chloro-, 4-chloro-2-butynyl ester|Carbyne|Fisons B25|Neoban",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,017601
62,10137743,,"Calcium chlorate||Chloric acid, calcium salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,073302
63,101428,,"Phenyl-1,1-dimethylurea|Fenuron (ANSI)||Urea, N,N-dimethyl-N-phenyl-|Dimethyl-3-phenylurea|Beet-Kleen, component of (with 018301 and 047601)",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,035507
64,101463698,,"Benzamide, N-4-2-chloro-4-(trifluoromethyl)phenoxy-2-fluorophenyl aminocarbonyl-2,6-difluoro- (9CI) (CA INDEX NAME)|Flufenoxuron (ISO and BSI approved)||Chloro-alpha.alpha.alpha-trifluoro-p-tolyloxy)-2-fluorophenyl-3-(2,6-difluorobenzoyl) urea (IUPAC name)|Cascade",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,108203
65,1014693,,"Isopropylamino)-4-(methylamino)-6-(methylthio)-s-triazine|Desmetryne||Methylamino)-4-(Isopropylamino)-6-(methythio)-s-triazine|Triazine, 2-(isopropylamino)-4-(methylamino)-6-(methylthio)-|Isopropylamino-4-methylamino-6-methylmercapto-s-triazine|Isopropylamino-4-methylamino-6-methylthio-1,3,5-triazine|Methylamino-4-methylthio-6-isopropylamino-1,3,5-triazine|Triazine-2,4-diamine, N-methyl-N-(1-methylethyl)-6-(methylthio)-|Methylthio-4-isopropylamino-6-methylamino-s-triazine|Semeron|Desmetryn|G 34360|Topusyn",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,080810
66,1014706,,"Bis(ethylamino)-6-(methylthio)-s-triazine|Simetryn||Triazine, 2,4-bis(ethylamino)-6-(methylthio)-|Bis(ethylamino)-6-(methylmercapto)-s-triazine|Methylmercapto-4,6-bis(ethylamino)-s-triazine|Methylthio-4,6-bis(ethylamino)-s-triazine|Simetryne (France)|Triazine-2,4-diamine, N,N-diethyl-6-(methylthio)-|Cymetrin|G 32911|Gy-Bon",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,294300
67,101611,,"Michler’s base 4,4´-methylenebis(<i>N</i>,<i>N</i>-dimethyl)\xadbenzenamine",2010,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"27, Sup 7, 99",
68,101688,,"4,4-Methylenediphenyl diisocyanate",1999,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"19, Sup 7, 71",
69,101779,,"4,4-Methylenedianiline",1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"39, Sup 7",
70,101804,,"4,4-Diaminodiphenyl ether",1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"29, Sup 7",
71,101860,,"Hexylcinnamaldehyde (Positive Control Chemical)||Octanal, 2-(phenylmethylene)- (CAS NAME)|Hexylcinnamaldehyde, Octanal, 2-(phenylmethylene)- (CAS NAME) (positive control substance)||Hexylcinnamaldehyde (positive control substance)|Hexylzimtaldehyd",,,,,,,,,,,,,,,,,"PPIS/chemname.zip, PPIS/chemname.zip",,,,,,,,,,,,,,,,,"009119, 609109"
72,101906,,Diglycidyl resorcinol ether,1999,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"36, Sup 7, 71",
73,101917662,,"Ammonium salt of (+/-)-2-(4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-5-ethyl-3-pyridinecarboxylic acid|Imazethapyr, ammonium salt||Pursuit, (ammonium salt of)|AC 263499 + ammonia",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,128923
74,101929899,,"Methyl 3-hydroxy-4-(4-((5-(trifluoromethyl)-2-pyridinyl)oxy)phenoxy)pentanoate|Poppenate-methyl (proposed)||Hydroxy-4-(4-((5-(trifluoromethyl)pyridyl)oxy)phenoxy)pentanoic acid, methyl ester|Pentanoic acid, 3-hydroxy-4-(4-((5-(trifluoromethyl)-2-pyridinyl)oxy)phenoxy)-, methyl ester|SC-1084|Crop Destruct|Trophy",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,128871
75,10222012,,"Dibromo-3-nitrilopropionamide||Dibromo-2-carbamoylacetonitrile|Acetamide, 2,2-dibromo-2-cyano-|DBNPA|Slimicide 508|XD-7287L Antimicrobial|XD-1603",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,101801
76,102307,,"Alkyl* dimethyl 3,4-dichlorobenzyl ammonium chloride *(100% C12)||Dichlorobenzyl-N-dodecyl-N,N-dimethyl ammonium chloride|Dodecyl dimethyl 3,4-dichlorobenzyl ammonium chloride|Dichloro-N-dodecyl-N,N-dimethylbenzenemethanaminium chloride|Benzenemethanaminium, 3,4-dichloro-N-dodecyl-N,N-dimethyl-, chloride|Lauryldimethyldichlorobenzylammonium chloride|Tetrasan",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,169134
77,10233008,,"Potassium thiosulfate||Thiosulfuric acid (H2S2O3), dipotassium salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,080102
78,10233940,,"Methylformamido)-3,5-xylyl methylcarbamate||Dimethyl-4-(methylformamido)phenyl methylcarbamate|Carbamic acid, methyl-, ester with 4-hydroxy-N-methyl-2,6-formoxylidide",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,205600
79,10248552,,"Copper abietate||Cupric abietate|Phenanthrenecarboxylic acid, 1,2,3,4,4a,4b,5,6,10,10a-decahydro-1,4a-dimethyl-7-(1-methylethyl)-, copper salt, (1R-(1.alpha.,4a.beta.,4b.alpha.,10a.alpha.))-",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,023301
80,102501,,<i>meta</i>-Cresidine,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"27, Sup 7",
81,10254485,,"Sodium 2,2-methylenebis(4-chlorophenate)||Methylenebis(4-chlorophenol), sodium salt|Dichlorophene, sodium salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,055005
82,10257542,,"Copper sulfate monohydrate||Sulfuric acid copper(2+) salt, monohydrate",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,024402
83,10265926,,"Dimethyl phosphoramidothioate|Methamidophos (ANSI)||Acephate-met|Phosphoramidothioic acid, O,S-dimethyl ester|Monitor|Amidophos|Tamaron|RE-9006|Bay 71628|ENT 27396|Filitox|Metamidofos Estrella|MTD|MTD 600|Patrole|SRA 5172|Tamanox|Tahmabon|Ortho 9006|Pillaron",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,101201
84,102716,,"Triethanolamine, Tris(2-hydroxyethyl)amine|Triethanolamine||TEA|Nitrilotris(ethanol)|Triethylolamine|Sterolamide|Trolamine",2000,,,,,,,,,,,,,,,,"List_of_Classifications.xls, PPIS/chemname.zip",,,,,,,,,,,,,,,3,77,004208
85,10290127,,"Copper arsenite|Arsonic acid, copper(2+) salt (1:1)||Cupric arsenite (CuHAsO3)|Arsenious acid, copper(2+) salt (1:1)|Acid copper arsenite",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,022401
86,10294561,,Phosphorous acid|,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,076002
87,103037,,Phenicarbazide,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"12, Sup 7",
88,103055078,,"Benzamide, N-2,5-dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)phenyl aminocarbonyl-2,6-difluoro- (CAS NAME)|Lufenuron (ISO)||CGA 184699",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,118205
89,10309974,,"Hydroxyphenyl methylcarbamate||Benzenediol, mono(methylcarbamate)|Carbamic acid, methyl-, o-hydroxyphenyl ester|Pyrocatechol, mono(methylcarbamate)",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,205300
90,1031078,,Endosulfan sulfate|,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,079404
91,103117,,2-Ethylhexyl acrylate,In prep.,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"60, 122",
92,10311849,,"Chloro-1-phthalimidoethyl) O,O-diethyl phosphorodithioate|Dialifor (ANSI)||Diethyl S-(2-chloro-1-phthalimidoethyl) phosphorodithioate|Phosphorodithioic acid, S-(2-chloro-1-phthalimidoethyl) O,O-diethyl ester|Torak|Hercules 14503",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,102501
93,1031476,,"Amino-3-phenyl-1H-1,2,4-triazol-1-yl)-N,N,N,N-tetramethyl phosphonic diamide|Triamiphos||Phosphonic diamide, p-(5-amino-3-phenyl-1H-1,2,4-triazol-1-yl)-N,N,N,N-tetramethyl-|Amino-1-bis(dimethylamide)phosphoryl-3-phenyl-1,2,4-triazole|Bis(dimethylamino)-3-amino-5-phenyltriazolyl phosphine oxide|Triamifos|Wepsyn|Wepsyn 155 (fungicide, insecticide-acaricide)|ENT 27,223|WP 155",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,237200
94,103173,,Chlorobenzyl-p-chlorophenyl sulfide|Chlorbenside||Chlorobenzyl 4-chlorophenyl sulfide|Chloro-4-(((4-chlorophenyl)methyl)thio)benzene|Mitox|Chlorocide|HRS 860|Chlorparacide,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,017401
95,103231,,Di(2-ethylhexyl) adipate,2000,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"Sup 7, 77",
96,10326213,,"Magnesium chlorate||Chloric acid, magnesium salt|De-Fol-Ate|Magron|Off",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,530200
97,103275,,"Phenylmercuric propionate||Phenyl(propanoato-O)mercury|Phenyl(propionyloxy)mercury|Mercury, phenyl(propanoato-O)-|Metasol P-6|Metasol 57",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,066018
98,10331574,,"Dichloro-3,3-dinitro-(1,1-biphenyl)-2,2-diol||Dichloro-6,6dinitro-o,o-biphenol|Biphenyl)-2,2-diol, 5,5-dichloro-3,3-dinitro-|Biphenyldiol, 5,5-dichloro-3,3-dinitro-|Biphenol, 4,4-dichloro-6,6-dinitro-|Bilevon M|Bayer 9015|Niclofolan",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,306400
99,10332339,,"Sodium perborate monohydrate||Perboric acid, (HBO(O2)), sodium salt, monohydrate (9CI) (CA INDEX NAME)|Perboric acid (HBO3), sodium salt, monohydrate (8CI)|Sodium borate (NaBO3), monohydrate",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,011105
100,103333,C009850,"azobenzene, Azobenzene, Azobenzene||Azobenzol|Diphenyldiazene|Diphenyldiimide|Diazene, diphenyl- (9CI) (CA INDEX NAME)|Azofume|Benzofume|Azobenzide","2012, 1987",11,05,photosensor molecule known to undergo reversible isomerization from trans to cis on illumination with photons of appropriate wavelength; RN given refers to cpd without isomeric designation; structure\\n  ,813,*D001391,Z Krebsforsch 87:327;1976,M0054909,F0U1H6UG5C,T082819,NLM (1982),*Q000031,BENZENE DERIVATIVES (75-77),"Carbamic acid, (6-(trichloroethenyl)imidazo(1,2-a)pyridin-2-yl)-, methyl ester",M0534096,M0534097,"MeSHSupplemental.xml, List_of_Classifications.xls, PPIS/chemname.zip",,,,,,,,,,,,,,,3,"8, Sup 7",007401
101,10361167,,"Octyl dodecyl dimethyl ammonium chloride||Dodecanaminium, N,N-dimethyl-N-octyl-, chloride|BTC 812",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,069190
